count	class	samples
24	sf-hidden	<div.sf-hidden> | <div.fixed.inset-x-0.bottom-0.z-[60].lg:hidden.sf-hidden> | <button.md:hidden.absolute.right-1.top-1/2.-translate-y-1/2.z-10.flex.h-10> | <div.grid.md:hidden.gap-4.grid-cols-1.xxs:grid-cols-2.lg:max-h-[calc(100vh-200px)].sf-hidden>
23	border-transparent	<div.group.relative.flex.h-full.w-full.cursor-pointer.items-center.justify-center> "xcvvxv$25,458.00" | <div.group.relative.flex.h-full.w-full.cursor-pointer.items-center.justify-center> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.group.relative.flex.h-full.w-full.cursor-pointer.items-center.justify-center> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00" | <div.relative.aspect-[404/439].overflow-hidden.rounded-[12px].bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
23	line-clamp-1	<p.line-clamp-1.md:line-clamp-2.font-semibold.text-xs.md:text-sm> "xcvvxv" | <p.line-clamp-1.md:line-clamp-2.font-semibold.text-xs.md:text-sm> "FHD Laptop 2026 Edition with Copilot AI" | <p.line-clamp-1.md:line-clamp-2.font-semibold.text-xs.md:text-sm> "Horizon Arc 49\" OLED Curved Gaming Monitor" | <h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "xcvvxv"
23	md:line-clamp-2	<p.line-clamp-1.md:line-clamp-2.font-semibold.text-xs.md:text-sm> "xcvvxv" | <p.line-clamp-1.md:line-clamp-2.font-semibold.text-xs.md:text-sm> "FHD Laptop 2026 Edition with Copilot AI" | <p.line-clamp-1.md:line-clamp-2.font-semibold.text-xs.md:text-sm> "Horizon Arc 49\" OLED Curved Gaming Monitor" | <h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "xcvvxv"
22	md:hidden	<button.md:hidden.absolute.right-1.top-1/2.-translate-y-1/2.z-10.flex.h-10> | <div.grid.md:hidden.gap-4.grid-cols-1.xxs:grid-cols-2.lg:max-h-[calc(100vh-200px)].sf-hidden> | <div.mt-3.md:hidden.sf-hidden>
22	rounded-2xl	<div.overflow-hidden.rounded-2xl.bg-white.dark:bg-neutral-800.flex.items-center.justify-center.p-6> | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "xcvvxv$25,458.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "FHD Laptop 2026 Edition with Copilot AI$10,000.00" | <div.flex.gap-3.items-center.rounded-2xl.px-4.py-2.border.border-white/20> "Horizon Arc 49\" OLED Curved Gaming Monitor$4,000.00"
21	duration-500	<div.relative.shrink-0.overflow-hidden.rounded-full.outline-solid.outline-transparent.group-data-[focus-visible=true]:z-10.group-data-[focus-visible=true]:ring-2> | <div.relative.overflow-hidden.w-full.h-full.object-cover.transition-transform.duration-500.group-hover:scale-105> | <div.relative.overflow-hidden.w-full.h-full.object-contain.transition.duration-500.ease-in-out>
21	gap-1	<a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "All" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Smartphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Headphones" | <a.font-medium.text-neutral-300.hover:text-white.px-3.lg:px-4.py-2.rounded-full.transition-colors> "Entertainment"
21	pb-2	<div.flex.gap-4.md:gap-5.overflow-x-auto.scrollbar-hide.snap-x.snap-mandatory.pb-2> "PhoneSmartphonesHeadphonesEntertainmentAppliances" | <div.pt-3.pb-2.px-1.text-left> "xcvvxv$25,458.00" | <div.pt-3.pb-2.px-1.text-left> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution.Starti" | <div.pt-3.pb-2.px-1.text-left> "SmartHome IoT Relay Module - Gerber & Schematic Files$150.00"
21	text-base	<p.text-base.font-bold.text-neutral-900.dark:text-white> "$25,458.00" | <p.text-base.font-bold.text-neutral-900.dark:text-white> "$535.00" | <p.text-base.font-bold.text-neutral-900.dark:text-white> "$150.00" | <p.text-base.font-bold.text-neutral-900.dark:text-white> "$10,000.00"
20	bg-[#F7F7F8]	<div.relative.aspect-[404/439].overflow-hidden.rounded-[12px].bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300> | <div.relative.aspect-[544/592].overflow-hidden.rounded-[12px].bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300> | <div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
20	bottom-3	<div.absolute.bottom-3.right-3.translate-y-2.opacity-0.group-hover:translate-y-0.group-hover:opacity-100.transition-all> | <div.absolute.bottom-3.right-3.transition-all.duration-300.w-10.h-10.opacity-0>
20	dark:hover:border-neutral-700	<div.relative.aspect-[404/439].overflow-hidden.rounded-[12px].bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300> | <div.relative.aspect-[544/592].overflow-hidden.rounded-[12px].bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300> | <div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
20	dark:hover:text-white	<h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "xcvvxv" | <h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "SmartHome IoT Relay Module - Gerber & Schematic Files" | <h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "FHD Laptop 2026 Edition with Copilot AI"
20	group-hover:opacity-100	<div.absolute.left-3.top-3.flex.flex-col.gap-2.transition-all.duration-300> | <div.absolute.bottom-3.right-3.translate-y-2.opacity-0.group-hover:translate-y-0.group-hover:opacity-100.transition-all>
20	hover:border-neutral-200	<div.relative.aspect-[404/439].overflow-hidden.rounded-[12px].bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300> | <div.relative.aspect-[544/592].overflow-hidden.rounded-[12px].bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300> | <div.group.relative.overflow-hidden.rounded-2xl.bg-[#F7F7F8].dark:bg-neutral-900.transition-all.duration-300>
20	hover:text-neutral-900	<h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "xcvvxv" | <h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "A smartphone and earphone bundle offers an all-in-one mobile communication and audio solution." | <h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "SmartHome IoT Relay Module - Gerber & Schematic Files" | <h3.text-[15px].font-medium.text-neutral-800.dark:text-neutral-200.line-clamp-1.md:line-clamp-2.leading-snug.hover:text-neutral-900> "FHD Laptop 2026 Edition with Copilot AI"
20	left-3	<div.absolute.left-3.top-3.flex.flex-col.gap-2.transition-all.duration-300>
